Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,
3,tropical fruit,yogurt,coffee,,,,,,
1,whole milk,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,
1,rolls/buns,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,
1,potted plants,,,,,,,,
2,whole milk,cereals,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes
1,beef,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,
2,chicken,tropical fruit,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,
1,fruit/vegetable juice,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,
1,chocolate,,,,,,,,
1,specialty bar,,,,,,,,
1,other vegetables,,,,,,,,
2,butter milk,pastry,,,,,,,
1,whole milk,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles
2,bottled water,canned beer,,,,,,,
1,yogurt,,,,,,,,
4,sausage,rolls/buns,soda,chocolate,,,,,
1,other vegetables,,,,,,,,
6,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,
4,yogurt,beverages,bottled water,specialty bar,,,,,
7,hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,
5,root vegetables,other vegetables,whole milk,beverages,sugar,,,,
8,pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,
3,beef,grapes,detergent,,,,,,
2,pastry,soda,,,,,,,
1,fruit/vegetable juice,,,,,,,,
1,canned beer,,,,,,,,
4,root vegetables,other vegetables,whole milk,dessert,,,,,
3,citrus fruit,zwieback,newspapers,,,,,,
6,sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,
13,tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals
2,berries,yogurt,,,,,,,
1,canned beer,,,,,,,,
8,butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers,
1,coffee,,,,,,,,
2,pastry,bottled water,,,,,,,
1,rolls/buns,,,,,,,,
1,misc. beverages,,,,,,,,
10,root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water
4,sausage,rolls/buns,cat food,newspapers,,,,,
1,canned beer,,,,,,,,
4,ham,grapes,other vegetables,whole milk,,,,,
10,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder
5,whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,
4,whole milk,curd,yogurt,pastry,,,,,
3,packaged fruit/vegetables,brown bread,canned beer,,,,,,
7,rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,
6,ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,,
3,rolls/buns,pastry,sugar,,,,,,
7,other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,
2,sausage,pastry,,,,,,,
3,sausage,beef,whole milk,,,,,,
5,frankfurter,tropical fruit,rolls/buns,brown bread,sugar,,,,
3,rolls/buns,pastry,soda,,,,,,
1,whole milk,,,,,,,,
2,curd cheese,coffee,,,,,,,
2,red/blush wine,newspapers,,,,,,,
3,sausage,whole milk,curd,,,,,,
8,tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,
1,red/blush wine,,,,,,,,
7,whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),,
8,frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,
3,whole milk,meat spreads,soda,,,,,,
1,frozen potato products,,,,,,,,
4,other vegetables,whole milk,rolls/buns,sugar,,,,,
5,citrus fruit,whole milk,curd,butter milk,pastry,,,,
5,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,,
4,sugar,bottled water,soda,bottled beer,,,,,
2,frozen meals,coffee,,,,,,,
1,chocolate,,,,,,,,
10,root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice
4,root vegetables,onions,hard cheese,frozen vegetables,,,,,
7,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,
1,bottled water,,,,,,,,
7,sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,,
2,coffee,newspapers,,,,,,,
3,pork,other vegetables,whipped/sour cream,,,,,,
2,berries,yogurt,,,,,,,
1,soda,,,,,,,,
1,berries,,,,,,,,
3,fruit/vegetable juice,salty snack,candles,,,,,,
4,citrus fruit,butter milk,yogurt,cream cheese,,,,,
9,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate
1,detergent,,,,,,,,
2,grapes,photo/film,,,,,,,
9,sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags
10,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil
3,whole milk,yogurt,brown bread,,,,,,
2,citrus fruit,tropical fruit,,,,,,,
2,soda,misc. beverages,,,,,,,
9,sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner
3,frankfurter,rolls/buns,bottled water,,,,,,
10,sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film
1,soda,,,,,,,,
2,rolls/buns,fruit/vegetable juice,,,,,,,
6,beef,citrus fruit,berries,root vegetables,brown bread,detergent,,,
7,whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,,
1,processed cheese,,,,,,,,
2,tropical fruit,pip fruit,,,,,,,
10,frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum
2,packaged fruit/vegetables,bottled water,,,,,,,
8,whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers,
2,berries,whipped/sour cream,,,,,,,
4,citrus fruit,berries,UHT-milk,processed cheese,,,,,
3,tropical fruit,whole milk,yogurt,,,,,,
6,hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,,
7,hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,,
3,whole milk,cream cheese,soda,,,,,,
8,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,
4,frankfurter,sausage,long life bakery product,waffles,,,,,
4,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,
2,pastry,soda,,,,,,,
2,other vegetables,red/blush wine,,,,,,,
1,misc. beverages,,,,,,,,
